name,religion,type,latitude,longitude,osm_id
St. Andrew's Church,christian,place_of_worship,13.0795606,80.2640677,way/27768993
St. Thomas Garrison Church,christian,place_of_worship,13.0023156,80.1961171,way/28534614
St. Mary's Church,christian,place_of_worship,13.0787709,80.2866688,way/28746263
New Life Assembly of God Church,christian,church,13.0156702,80.2244424,way/32685033
C.S.I. Wesley Church,christian,place_of_worship,13.0574559,80.2645302,way/35372136
Assumption Church,christian,place_of_worship,13.0990861,80.2832213,way/47416300
St. Thomas Mount Hill Shrine,christian,place_of_worship,13.0050749,80.1935267,way/130107136
St Thomas Lutheran Church,christian,place_of_worship,13.0411083,80.2488358,way/157989547
Advent Christian Church,christian,place_of_worship,13.0203438,80.2247487,way/180669306
Dhyana Jesuit Ashram,christian,place_of_worship,13.0282685,80.2730293,way/208569734
Queenship Mary Church,christian,place_of_worship,13.0776205,80.2692603,way/211435481
CSI Church of the Good Shepherd,christian,place_of_worship,13.044961,80.2605873,way/211774099
ECI,christian,place_of_worship,13.0248318,80.2151911,way/214598732
New Life Assembly of God,christian,place_of_worship,13.0156501,80.2244423,way/214598748
Zion Church,christian,place_of_worship,13.0752168,80.2719575,way/214698560
St Peters Church,christian,place_of_worship,13.1083129,80.2947065,way/217677421
St Paul's Church,christian,place_of_worship,13.088919,80.2630453,way/217722033
St. Theresa's Church,christian,place_of_worship,13.1203145,80.295957,way/217865454
C.S.I. World Redeemer's Church,christian,place_of_worship,13.1139311,80.2956188,way/217868152
St Mathias Church,christian,place_of_worship,13.0873041,80.2612732,way/218216039
Saint Mathias Church,christian,place_of_worship,13.0417565,80.2093323,way/218221686
Adven Chirstian Church,christian,place_of_worship,12.9773322,80.2587841,way/223540324
ECI Church,christian,place_of_worship,13.0862677,80.2338687,way/231054880
Layman's Evangelical Fellowship,christian,place_of_worship,13.0562323,80.2473302,way/240501605
RC Church,christian,place_of_worship,13.0907786,80.2601203,way/240869118
Presentation Church,christian,place_of_worship,13.0553165,80.2709819,way/240920335
Church Building,christian,place_of_worship,13.0169579,80.2445816,way/249522831
St Mathew's Church,christian,place_of_worship,12.9198575,80.1280061,way/297708173
St. Marks Church,christian,place_of_worship,12.9864443,80.2065651,node/300468145
Perambur Lourdes Church,christian,place_of_worship,13.1090349,80.2410153,node/311281260
St Theresas Church,christian,place_of_worship,13.0551911,80.2489306,node/313127753
Wesley Church,christian,place_of_worship,13.0574606,80.2644629,node/315901385
Pentecostal Mission,christian,place_of_worship,12.910879,80.1038493,node/323576962
Advent Christian Church,christian,place_of_worship,12.9072461,80.2002429,way/331955100
YMCA chapel,christian,place_of_worship,13.0261697,80.2364374,way/333380488
C.S.I. St. Thomas Church,christian,place_of_worship,13.0188339,80.2224395,way/339884182
CSI Meetpar Yesu Alayam,christian,place_of_worship,13.0219681,80.2258685,way/343141648
Advent Christian Church,christian,place_of_worship,13.0073059,80.2217364,way/344473835
Advent christian conference of india,christian,place_of_worship,12.9858832,80.2260826,way/344473836
Advent Christian Cathedral,christian,church,12.9858396,80.2259698,way/344473837
Advent Christian Church,christian,place_of_worship,13.0169201,80.2446697,way/348493964
"Advent Chriatian Church, Perungudi",christian,place_of_worship,12.9637768,80.246207,way/348495914
Bethel Prayer Assembly,christian,place_of_worship,12.967435,80.2487579,way/348499405
ECI Arputhanathar Aalayam (Church),christian,place_of_worship,13.0323761,80.2204526,way/348959275
St. Josephs Church,christian,place_of_worship,13.1183654,80.1465688,way/349589930
St. Thomas Mount,christian,place_of_worship,13.0051108,80.1935436,way/353687583
The Pentecostal Mission,christian,place_of_worship,13.1325227,80.1618544,way/354255688
Apostolic Christian Assembly,christian,church,13.115543,80.2162083,way/354495892
St.Jude's Shrine,christian,place_of_worship,12.9814516,80.1959133,way/354749127
Christ King Church,christian,church,13.0612071,80.2347464,way/354759920
CSI Christ Church,christian,place_of_worship,13.1194577,80.1506963,way/354769713
New Life Rainbow Church,christian,place_of_worship,13.0644356,80.2222158,way/354839625
Church of jesus christ,christian,place_of_worship,12.9647363,80.2569036,way/354855072
St. Marks Church,christian,place_of_worship,13.1031635,80.2861668,way/355019672
thomas chruch,christian,church,12.9690806,80.1981688,way/355020738
ECI Zion Church,christian,place_of_worship,13.0211025,80.2060804,way/355075082
Power of Jesus Church,christian,place_of_worship,13.0488529,80.2554803,way/355666434
Annai Velankanni Shrine,christian,place_of_worship,12.9951776,80.2700337,way/355724162
St. Antony's Church,christian,place_of_worship,13.0714045,80.2722041,way/364109480
Miracle AG Church,christian,place_of_worship,12.9947791,80.2594062,way/364452684
Ebenezer Christian Assembly,christian,place_of_worship,13.123947,80.1492349,way/368401966
