name,type,latitude,longitude,osm_id
Fire and Rescue station,fire_station,13.0352121,80.2306257,way/217731034
Teynampet FS,fire_station,13.0474469,80.249119,node/302899362
Fire Station Gudiyattam,fire_station,12.9461218,78.8738331,way/485799116
Tamilnadu fire and rescue services,fire_station,11.0440949,76.9485156,way/594656061
Chennai International Airport Fire Station 2,fire_station,12.9925029,80.1660222,way/620705901
Kangeyam Fire Station,fire_station,11.0080494,77.5613364,way/663434710
Kallakurichi Fire Station,fire_station,11.7394043,78.9481975,way/836177898
Ganapathy FireStation,fire_station,11.0391993,76.9975014,node/942754044
NCTPS Fire Station,fire_station,13.2512323,80.3272453,way/1074457140
Madurai Airport Fire Station,fire_station,9.8369999,78.0934343,way/1105131964
Moolakothalam Fire Station,fire_station,13.1055078,80.2782141,way/1105414357
Egmore fire and Rescue station,fire_station,13.0686327,80.2613334,way/1107911283
Esplanade Fire Station,fire_station,13.0864782,80.2860635,way/1122111815
Washermanpet Fire & Rescue Station,fire_station,13.1024404,80.2744007,way/1172399106
Fire and Rescue Services Station,fire_station,11.0192506,77.1279315,way/1302295327
Coimbatore Fire Staion,fire_station,10.9979554,76.9685119,way/1385752911
Airport Fire Station,fire_station,8.7283762,78.0243562,way/1442919035
Villupuram Fire Station,fire_station,11.943265,79.4873326,way/1454237136
Mettupalayam Fire Station,fire_station,11.293845,76.9512395,node/1473264367
BHEL Fire Station,fire_station,10.767851,78.7894638,way/1535747103
Kollencode Fire Station,fire_station,8.2844146,77.1171714,node/1623278706
Tisaiyanvillai Fire Station,fire_station,8.3371569,77.8530512,node/1685476665
Surandai Fire Station,fire_station,8.9708303,77.4201945,node/1918542001
Tamil Nadu Fire and Rescue Services,fire_station,12.9436361,80.1335964,node/3029313653
Virudhunagar Fire Station,fire_station,9.5934341,77.9539212,node/4419269499
Vellore Fire station,fire_station,12.9141234,79.1312446,node/4693434964
Fire service station;Fire Force Service center,fire_station,12.9768528,80.2276341,node/5354315736
Fire Station Chidambaram,fire_station,11.3939609,79.7027245,node/6032167264
Koothanallur Fire  Station,fire_station,10.7187756,79.5237309,node/7348066258
Mettur FIre and Rescue Dept.,fire_station,11.8018489,77.8269114,node/11846087225
Thiruvallur fire station,fire_station,13.1378247,79.907707,node/12181440340
Fire And Rescue Services Station,fire_station,10.3595441,77.9680778,node/12290232366
Fire Station,fire_station,12.3328308,78.3489464,node/12320021520
Erode District Fire Station,fire_station,11.3326366,77.7272532,node/12395555373
Fire And Rescue Service Station,fire_station,8.8023125,78.1537646,node/12621901264
Sattur Fire Station,fire_station,9.3622324,77.9167503,node/14045983574
