name,category,latitude,longitude,osm_id
Prithvi Apartments,apartment,12.9677541,80.2536185,way/131961845
Nalanda Stay,apartment,10.9815665,76.7353523,way/640475201
Golden Fort,apartment,12.9497576,79.1332736,way/1097417454
Max Meenakshi Apartment,apartment,9.9241009,78.1483645,way/1484263591
Varalakshmi Villa,apartment,13.0978597,80.2338175,node/4206073586
SUNSHINE APARTMENT ,apartment,13.0261068,80.2170163,node/4308319499
Lakshmi Vaasam 2,apartment,10.8464367,78.7023786,node/4362729197
Kings Service Apartment,apartment,13.0284132,80.2498901,node/4490228416
Mohamad Building,apartment,10.8085681,78.6931724,node/4543308040
Block 27,apartment,13.0916078,80.1916074,node/4923787670
Kurinchi Gloxinia Apartment,apartment,12.8988605,80.2351777,node/4983375668
Olympia Opaline,apartment,12.8493264,80.2268369,node/5304610406
Five Star Apartments,apartment,13.0862218,80.1927611,node/5372753424
Bharath Green Garden,apartment,10.8615112,78.6859752,node/5585526139
Sree Ganapathy flats,apartment,10.8586523,78.6861003,node/5585526330
Vijay Garden,apartment,10.8609344,78.685654,node/5675516721
Perumbakkam Slum Relocation Apartment,apartment,12.8874528,80.2080531,node/5745222754
KG Green Meadows,apartment,12.9802675,80.2094316,node/5792649275
Jains Sunderbans,apartment,13.0739248,80.1654507,node/7183367979
The Summit,apartment,13.0521764,80.246367,node/7272121930
Season Residences,apartment,13.0518707,80.2482874,node/7272163470
Kriticons Aristo Apartment,apartment,12.8655928,80.0746837,node/7281748885
Brindhavan Towers TNHB KK Nagar,apartment,13.0345611,80.2065247,node/8097625770
Sri Harini Apartment,apartment,13.0997196,80.1570857,node/8114094674
Sri Sai Complex,apartment,10.0721997,78.7883175,node/8632152621
Nachiappa Apartments,apartment,10.0751455,78.781934,node/8811339417
Annai Avantika Apartments,apartment,12.9000105,80.177116,node/8888300351
Orchard Westend Apartments,apartment,13.0860577,80.1816788,node/8922785857
Gemini parsn apartments,apartment,13.0523555,80.248955,node/8935532756
Sundaram Apartments,apartment,10.8190602,78.6884899,node/8985213717
Hi Way Residency,apartment,9.9427729,78.1671506,node/9276965149
Jothi Apartments,apartment,13.0048157,80.2512032,node/9433769417
RSK Orchid Garden,apartment,12.8478745,80.2255083,node/9591480197
Lakshmi Saagar,apartment,9.9218666,78.0967397,node/9787264017
Aparna Paradise,apartment,9.9209845,78.0969973,node/9794168917
Aparna Ganesh,apartment,9.9208732,78.0980862,node/9794168918
Bharath Towers,apartment,9.9231785,78.0965831,node/9794168919
Aparna Paradise,apartment,9.9209341,78.0972603,node/9794169017
Bharath Heights,apartment,9.9232558,78.0962769,node/9794169018
Nachiappa's royal apartments,apartment,10.0787056,78.7784872,node/9999062033
The Grove Apartments,apartment,12.9965718,80.2061712,node/10594452705
Police quarters,apartment,8.6930634,77.7446251,node/10684990314
Vajra Apartment,apartment,9.9219174,78.0928128,node/11162254005
MKSR Penthouse,apartment,12.5339499,78.2022705,node/11215174940
Roja Apartment,apartment,9.9320717,78.1048883,node/11609521154
Isha Majestica,apartment,13.0491799,80.2415867,node/11828674137
Trident Flats,apartment,13.0514359,80.2430825,node/11828707320
DABC Abhinayam Phase 1,apartment,13.070977,80.1688457,node/12142180248
Abhinayam Phase-1,apartment,13.0714631,80.1685055,node/12163642156
Habiterra apartments,apartment,12.8680582,80.0752334,node/12404436856
Srirangam Nandavanam Service Apartment,apartment,10.8476223,78.6910137,node/12495337501
Grand Residency,apartment,12.9433599,80.2108153,node/12533044031
West gate Home Stay,apartment,10.8621226,78.6869758,node/12535718301
Vishaka Daily Rentals,apartment,8.6957993,77.7288368,node/12537395801
Srirangam Nandavanam service Apartments,apartment,10.8475828,78.6911565,node/12537397702
Swarna Sudarshan Serviced Apartments @ Adyar (Unit of Prohotel),apartment,13.0045178,80.2513542,node/12609203142
Pioneer Colony,apartment,13.0914342,80.1984003,node/12841106302
S&P Signature Villas,apartment,12.8846874,80.1150589,node/13172351581
Auromode Apartments,apartment,12.0169201,79.8109875,node/13658891977
Subhashri Apartment,apartment,13.0396175,80.2259231,node/13985554688
SSPDL Apartment,apartment,12.7944749,80.2118688,node/13991465901
Nandha Apartment,apartment,8.5088555,78.0332913,node/13991550901
Isharya Homes,apartment,12.910084,80.1924051,node/14134296801
