name,type,latitude,longitude,osm_id
G. Kuppuswamy Naidu Memorial Hospital,hospital,11.0119015,76.980748,relation/2295479
Hindu Mission Hospital,hospital,12.9239369,80.1138071,relation/5419955
GSMCH - Hospital,hospital,9.83977,78.4785333,relation/6585455
Madha Medical College Hospital,hospital,13.0040654,80.1119084,relation/7357637
Government Medical College & Hospital,hospital,10.4109762,78.8459835,relation/8134512
Government Medical College & Hospital,hospital,10.4089261,78.8465311,relation/8134553
Government Medical College & Hospital,hospital,10.4081333,78.8465057,relation/8134554
"Aravind Eye Hospital - Peelamedu, Coimbatore",hospital,11.0356018,77.0328714,relation/11817364
Royapettah Government Hospital,hospital,13.0541723,80.2649264,relation/14377391
Jawaharlal Institute of Post Graduate Medical Education and Research,hospital,11.951225,79.8008669,relation/16127659
Scudder Memorial Hospital,hospital,12.9341737,79.3255042,relation/17706234
CMC Ranipet,hospital,12.937683,79.2347316,relation/17951167
Rajiv Gandhi Government General Hospital,hospital,13.0808972,80.2773284,way/27618339
Stanley Medical College and Hospital,hospital,13.1063871,80.2841452,way/28345285
Sri Ramachandra Institute of Higher Education and Research,hospital,13.0410329,80.1425261,way/28493363
Tt Ranganathan Clinical Research Foundation,hospital,12.9923667,80.2550102,way/29046387
IMPCOPS Traditional Hospital,hospital,12.9930805,80.2572794,way/29046742
Egmore Eye Hospital,hospital,13.0702235,80.2599829,way/29116157
ESI Hospital,hospital,13.0950575,80.2397713,way/30973308
Government Hospital of Thoracic Medicine,hospital,12.9418907,80.1293774,way/31240956
"District Hospital, Eroda",hospital,11.3393048,77.717926,way/31469343
King's Institute of Preventive Medicine & Research,hospital,13.0143958,80.2172865,way/32686766
CT Scan Centre,hospital,11.409377,76.6999417,way/32743332
SivaShakthi hospital,hospital,11.4014668,76.7026364,way/32790741
Cantonment General Hospital,hospital,13.0095756,80.1950144,way/32896904
"Government Hospital, Poonamallee",hospital,13.0504416,80.099468,way/33630155
Communicable Diseases Hospital,hospital,13.1287163,80.2925206,way/34097016
புனித இஸ்பேல் மருத்துவமனை,hospital,13.0384509,80.2622475,way/35312695
Parvathy Hospital,hospital,12.946075,80.1367453,way/44034276
Chennai Krishna Hospital,hospital,12.9463677,80.1369815,way/44034282
Medical College Hospital,hospital,10.7583732,79.1044864,way/46505328
Stanley Medical College and Hospital,hospital,13.1042167,80.283195,way/47416302
ICF Hospital,hospital,13.0998913,80.2138748,way/48741356
Anna Nagar Government Hospital,hospital,13.0954447,80.2197148,way/48753841
"Deepam Hospital, Ramanathapuram",hospital,10.9965354,77.0039274,way/48846712
Government Raja Mirasdar Hospital,hospital,10.7844153,79.1362994,way/52061947
அப்பல்லோ சிறப்பு மருத்துவமனைகள்,hospital,9.9281121,78.1492466,way/54781710
Lotus Hospital,hospital,11.3259471,77.7302149,way/73242511
Sriperumpudur Government Hospital,hospital,12.9568015,79.9448713,way/84087718
Government Rajaji Hospital in Madurai,hospital,9.9271051,78.1301681,way/93467324
"அறிஞர் அண்ணா அரசு இந்திய,மருத்துவமனை,அரும்பாக்கம்,சென்னை-106",hospital,13.0772596,80.2187728,way/100857284
Christian Medical College Hospital,hospital,12.9249395,79.1358748,way/120272987
Govt Peripheral Hospital KK Nagar,hospital,13.034006,80.2078405,way/125180726
Ayurveda Hospital,hospital,12.9705162,80.2601162,way/131961841
Apollo Hospital,hospital,12.9630574,80.2457399,way/132073184
Kalpana Medical Centre,hospital,11.0469909,76.9477217,way/133035201
Ganga Hospital,hospital,11.026129,76.9524873,way/133072618
Sankara Eye Hospital,hospital,11.0558646,76.9977839,way/133736673
Meenakshi Hospital,hospital,11.2913595,76.9413024,way/133851136
Prashanth Hospitals,hospital,13.0695736,80.2363218,way/133862451
Sir Ivan Stedford Hospital,hospital,13.1253777,80.1438996,way/138307630
Dr. Arjun Hospital,hospital,10.9843661,76.930203,way/155623691
Udhi Eye Hospitals,hospital,13.0391602,80.2571596,way/156240637
Agarwal Eye Hospital,hospital,13.0460706,80.2557204,way/156250603
Aswene Soundarya Hospital,hospital,13.044707,80.256162,way/156250608
Global Hospitals,hospital,13.0098114,80.2515183,way/170104584
Padma Pharmacy,hospital,12.5227462,78.2191806,way/171245087
Government Rsrm Lying Hospital,hospital,13.1090673,80.288719,way/178747899
Sree Balaji Medical College And Hospital,hospital,12.9549137,80.1381689,way/180145742
Health Centre,hospital,13.0136347,80.2393232,way/181579506
Apollo Clinic & Pharmacy,hospital,13.0360972,80.2572646,way/188445646
Krishna hospital,hospital,11.7574846,79.7616353,way/189154731
"Government Hospital, Cuddalore",hospital,11.7565497,79.7592227,way/189154735
"Gem Hospital, Coimbatore",hospital,10.9996629,76.9953933,way/193354097
Irt Hospital,hospital,11.2803603,77.5644118,way/200567760
R S P Cardio Thoracic Research Centre,hospital,8.726044,77.7059661,way/204553710
"Lakshmi Hospitals, Tirunelveli",hospital,8.7419029,77.7135795,way/204555695
Trinity Acute Care,hospital,13.0385579,80.2578675,way/209413524
Sankara Nethralaya,hospital,13.0667961,80.2493986,way/209546207
Apollo Hospital,hospital,13.0631198,80.2515186,way/211260239
CSI Kalyani Hospital,hospital,13.0433307,80.2724017,way/211274279
EV Kalyani Hospital,hospital,13.0423476,80.2709401,way/211423255
Kasturibai Gandhi Hospital,hospital,13.0594053,80.2784271,way/211423281
Cancer Hospital,hospital,13.0090564,80.2484946,way/211900029
சைதாப்பேட்டை அரசு மருத்துவமனை,hospital,13.0204577,80.2240451,way/214188197
Natraj Doctor Hospital,hospital,11.0778856,77.8838909,way/215555679
ஆந்திர மாநில சபா,hospital,13.0176759,80.2598878,way/217726810
Mehta Hospital,hospital,13.0719905,80.2408853,way/217797428
Corporation Baby Hospital,hospital,13.0971804,80.2754276,way/217846762
C.S.I. Rainy Multi Speciality Hospital,hospital,13.1179059,80.2910031,way/217864765
Government Peripheral Hospital,hospital,13.1260276,80.2866925,way/217864797
ESI,hospital,13.1269596,80.2912215,way/217868140
Tamil Nadu Government Multi Super Speciality Hospital,hospital,13.0693752,80.2741496,way/217960574
Billroth Hospital,hospital,13.0273509,80.2567528,way/218149507
Fortis Malar Hospital,hospital,13.0101605,80.2585641,way/218163938
Gowri Nursing Home,hospital,12.9773885,80.1883328,way/220821765
Vasan Eye Care Hospital-Hosur,hospital,12.7414997,77.8187729,way/225571357
Vasan Dental Care,hospital,13.0920868,80.218563,way/231052536
Police Hospital,hospital,13.0744047,80.2592982,way/240472123
Kanchi Kamakoti Childs Trust Hospital,hospital,13.0573425,80.2458975,way/240501607
vims,hospital,11.5854239,78.0639188,way/242954798
SREC Health Center,hospital,11.1005451,76.9637445,node/247177822
Kalaignar Karunanidhi Nagar,hospital,13.0386493,80.2052158,node/248420920
Koyambedu,clinic,13.0720236,80.1980375,node/248559397
Kasimedu,hospital,13.122775,80.2960584,node/248560797
R.K.B. Hospitals,hospital,13.1235156,79.9118951,way/249316510
District Government Hospital - Tiruvallur,hospital,13.1273966,79.9108882,way/249317000
Dr Kumaraswami Health Centre,hospital,8.1123249,77.5338028,way/254606536
Govt Hospital,hospital,8.1176662,77.5278228,way/254607206
"Government Hospital, Agasteeswaram",hospital,8.0971212,77.5207253,way/254609326
Divya Hospital,hospital,13.2771647,80.261075,way/254986491
Amrit Hospital,hospital,13.0922007,80.2792912,node/258978416
Vikram Hospital,hospital,13.0985007,80.2796178,node/258978417
Chennai Corporation 24 Hours Maternity Hospital,hospital,13.0208732,80.2241344,way/262012749
City Tower Hospitals,hospital,13.08438,80.2160862,node/262452334
RMMCH - Raja Muthiah Medical College Hospital,hospital,11.3971459,79.7183691,way/267171373
Siluvathur PHC,hospital,10.3530399,78.0902637,way/272507681
Government Hospital,hospital,11.4085627,76.7002627,node/281903680
"Apollo Hospitals, Tondiarpet",hospital,13.1289367,80.2905623,node/289486820
K.H.M. Hospital,hospital,13.0844992,80.2130591,node/295544111
Sundaram Medical Foundation,hospital,13.08217,80.2069819,node/295552091
Sri Devi Speciality Hospial,hospital,13.0887983,80.1994692,node/295552092
Corporation Hospital,hospital,13.0336624,80.2572467,node/303590777
"Hindu Mission Health Services, Kanchipuram",hospital,12.9787682,80.1846471,node/308811614
Parvathy Nursing Home,hospital,11.4156645,76.7088458,node/309864918
Military Hospital,hospital,13.0194622,80.1972947,node/310015097
"Tamil Nadu Government Dental College & Hospital, Chennai",hospital,13.084889,80.2826483,node/310504820
Kilpauk Medical College,hospital,13.0785984,80.2433369,node/310732936
Hariharan Hospital,hospital,12.9847145,80.1905906,node/310909754
BM Hospital,hospital,12.9887616,80.1904116,node/310910945
K.F. Hospital,hospital,12.973463,80.1841397,node/311429396
Cancer Institute,hospital,13.0061338,80.239884,node/312000326
Sri Ramachandra Medical Centre and Hospital,hospital,13.0380979,80.1428047,node/313027868
Apollo Speciality Hospital - Block A,hospital,13.0336469,80.2451684,way/315499682
Apollo Speciality Hospital - Block B,hospital,13.0336169,80.2456392,way/315499747
Apollo Speciality Hospital - Block C,hospital,13.0339285,80.245666,way/315499965
Govt Maternity Hospital,hospital,13.0720996,80.2589871,node/320275820
Institute of Child Health,hospital,13.0735496,80.257025,node/320275824
Institute of Obstetrics and Gynaecology dd,hospital,13.0735431,80.2591463,node/320275839
Ellen Multispeciality Hospital,hospital,11.0213634,76.9708723,node/321420767
GP Hospital,hospital,11.0201233,76.9710726,node/321420772
Arunn Surgery,clinic,11.0110912,76.9671438,node/321420833
Chennai Clinical Centres,hospital,12.9941997,80.2516271,way/328706398
Saravana Dental Care Hospital,hospital,11.0028292,76.9513725,node/330069980
Senthil Hospital,hospital,11.0089752,76.9578034,node/330070075
Dr. S. G. Rajarathinam Hospital,hospital,11.0095256,76.9619316,node/330070077
Public Health Centre (In Patient Block),hospital,13.0359986,80.2218494,way/332525434
Public Health Centre (Out Patient Block),hospital,13.0363842,80.2219385,way/332525519
"K. G. Hospital, Coimbatore",hospital,11.0004227,76.9715023,node/337604253
Chitra Maternity andSurgival Centre,hospital,13.0234391,80.2229133,way/337923794
Bora Hospital,hospital,13.0223109,80.2222779,way/337929079
NLC General Hospital,hospital,11.621159,79.482489,way/338725613
Government Hospital,hospital,11.2168924,78.169068,way/342052679
Vasan,hospital,13.0217319,80.2257691,way/343141649
Sengaliappan Nursing Home,hospital,11.0165542,76.955239,node/343436821
SRM Hospital,hospital,13.0418111,80.2246322,way/350538223
DAE Hospital,hospital,12.5037319,80.159635,node/353073527
Guest Hospital,hospital,13.0772245,80.2387532,way/354243595
Frontier Lifeline Hospital,hospital,13.0875243,80.1857322,way/354278944
Essvee Hospital,hospital,13.1232317,80.1460602,way/354290251
Hande Medical Centre,hospital,13.0611783,80.2466206,way/354293689
Mahalakshmi Multi-Speciality Hospital,hospital,13.1227176,80.1468899,way/354452683
Kauvery Hospital,hospital,13.0474765,80.2041464,way/354460032
Iswarya Fertility Center,clinic,13.1217932,80.1482455,way/354467887
Balaji Hospital (P) Ltd,hospital,13.0074019,80.2060853,way/354540004
Sugam Hospitals,hospital,12.9617858,80.1467001,way/354562297
