name,religion,type,latitude,longitude,osm_id
Mosque,muslim,place_of_worship,11.4074773,76.7012271,way/33265074
Tipu Masjid,muslim,place_of_worship,11.0078556,76.9544124,way/66292232
Sulaiman Nabi Jumma Masjid,muslim,place_of_worship,8.9745038,77.2526441,way/96175775
Nagore Dargah Shariff,muslim,place_of_worship,10.818266,79.8418884,way/157749336
Periamet Masjid,muslim,place_of_worship,13.0846899,80.2701756,way/165856075
Madhina Masjit,muslim,place_of_worship,12.5212465,78.2121431,way/171321019
Siddique Sarai,muslim,place_of_worship,13.0810562,80.2723897,way/211435531
Nawab Fazeelathunnisa Begum Sahiba Masjid,muslim,place_of_worship,13.0281069,80.2348857,way/214148765
Thousand Lights Mosque,muslim,place_of_worship,13.0550877,80.2551036,way/217662069
The Cutchi Memon Masjid,muslim,place_of_worship,13.1095185,80.2811919,way/217875246
Makkah Mosque,muslim,place_of_worship,13.0664952,80.2676081,way/240919361
Kurasani Peer Masjid,muslim,place_of_worship,12.9988781,80.2564883,way/252715122
Vadasery Mosque,muslim,place_of_worship,8.1924215,77.4305127,way/253175783
Peer Mohammed Appa Dargha,muslim,place_of_worship,8.2470484,77.3159862,way/256025617
Mosque,muslim,place_of_worship,11.7470987,79.7646147,way/257924444
Nawab Sadatullah Khan's Jumma Masjid,muslim,place_of_worship,13.0202208,80.2186739,way/282483268
Vathiya Palli,muslim,place_of_worship,11.5017372,79.76034,way/305536216
Appa Palli,muslim,place_of_worship,11.5001254,79.7577817,way/305539831
Masjid Nooriya,muslim,place_of_worship,13.1133088,80.2164661,way/354310915
Mosque,muslim,place_of_worship,11.0757812,79.7004917,way/354482999
Jamia Masjid (Shafi'i),muslim,place_of_worship,13.0391356,80.2312572,way/354541898
Masjid Osmaina,muslim,place_of_worship,13.0759084,80.2696803,way/354773285
Masjid-un Noor,muslim,place_of_worship,13.1159143,80.1541129,way/354823923
Dastageer Sahib Jamia Masjid,muslim,place_of_worship,13.0256661,80.2272088,way/355079723
Masjid Al Vilaya,muslim,place_of_worship,12.9496277,80.2323945,way/355086428
Governers Bodyguard Mosque,muslim,place_of_worship,13.0737768,80.2753893,node/355549777
Periya Palli,muslim,place_of_worship,10.7051139,79.5228896,way/361885513
Juma Masjid,muslim,place_of_worship,13.0090194,80.1958651,node/370495399
Mosque,muslim,place_of_worship,11.4118798,76.6854946,node/371433368
Tranquebar Mosque,muslim,place_of_worship,11.0286855,79.8527355,way/378559746
Mosque,muslim,place_of_worship,13.0500445,80.0989659,node/384727116
Umar-bin-Khattab Masjid,muslim,place_of_worship,10.7713145,79.7658666,way/385516179
Old Masjid,muslim,place_of_worship,10.7714866,79.7660322,way/385516180
TNHB MOSQUE,muslim,place_of_worship,13.1253412,79.9673887,way/385702656
Double Road Masjid,muslim,place_of_worship,12.9390576,79.1653341,way/399639549
thowheed markash(தொவ்ஹீத் மர்கஸ்),muslim,place_of_worship,11.2994468,79.5509104,way/422827998
Noorul Mubarak MAsjid,muslim,place_of_worship,11.2992068,79.5588187,way/422830990
Main Road Masjid,muslim,place_of_worship,11.3014321,79.5515378,way/422833718
Mubarak Masjid,muslim,place_of_worship,11.2990531,79.5549993,way/422834256
Beach Street Mosque,muslim,place_of_worship,10.3343756,79.3842738,way/425908823
Eid Prayer Ground,muslim,place_of_worship,11.3029692,79.552639,way/427772272
Jamiya Masjid,muslim,place_of_worship,11.3048673,79.554919,way/427795858
Mosque,muslim,place_of_worship,10.2308292,77.4724054,way/448806753
Mosque,muslim,place_of_worship,11.0068468,76.9392843,way/469398126
Azad Nagar Mosque,muslim,place_of_worship,13.0682858,80.2177595,node/472593951
Hazrath Yaarab Dargah,muslim,place_of_worship,12.5276485,77.7872864,way/478371628
Vadakku Mangudi Mosque,muslim,place_of_worship,10.8863814,79.2254901,way/541305743
Masjid,muslim,place_of_worship,9.5153552,78.094459,way/543513732
Thittuvilai Jumua Masjid,muslim,place_of_worship,8.2734665,77.4404572,way/547060837
Railady Mosque,muslim,place_of_worship,10.8962458,79.2058223,way/549681298
Maqdoom Mosque,muslim,place_of_worship,10.3444437,79.384005,way/609767904
Mohaideen Jumma Mosque,muslim,place_of_worship,10.3371831,79.3851138,way/609984392
Miskkin Mosque,muslim,place_of_worship,10.3387006,79.3818599,way/609984393
Al Ameen Mosque,muslim,place_of_worship,10.339626,79.384818,way/609984394
New Mosque,muslim,place_of_worship,10.3409943,79.3833064,way/609984396
Rahmania Mosque,muslim,place_of_worship,10.3421158,79.3812353,way/609984398
Masjid Aqsa,muslim,place_of_worship,10.342106,79.3785576,way/609984399
Sithick Mosque,muslim,place_of_worship,10.3443711,79.3760235,way/609984401
Muhaideen Jumma Mosque,muslim,place_of_worship,10.3447068,79.3809993,way/609984405
Chekkadi Mosque,muslim,place_of_worship,10.3440437,79.3795572,way/609984408
MKN Arabic College,muslim,place_of_worship,10.3355959,79.3777178,way/610224952
Kadir Mohideen Mosque,muslim,place_of_worship,10.3358988,79.3813383,way/610224953
Thaqwa Mosque,muslim,place_of_worship,10.3402394,79.3800911,way/610224955
Haneef Mosque,muslim,place_of_worship,10.3458703,79.3778284,way/610229606
Big Jumma Mosque,muslim,place_of_worship,10.340205,79.376931,way/611817768
ALM Mosque,muslim,place_of_worship,10.3456757,79.3743421,way/611833876
Ijabha Mosque,muslim,place_of_worship,10.3472885,79.3792045,way/611836628
Kattuppalli Dhargah,muslim,place_of_worship,10.3392347,79.3770053,way/611838915
New Mosque,muslim,place_of_worship,10.3410469,79.3834278,way/631169865
Thaqwa Mosque,muslim,place_of_worship,10.3402738,79.3804311,way/631805596
Majid-ul-Bakki,muslim,place_of_worship,11.1245802,77.3297068,way/663500703
General Bazaar & Pensioner's Street Mosque,muslim,place_of_worship,10.8139086,78.6827723,way/664376183
Ladies Niswan Masjid,muslim,place_of_worship,10.8136407,78.6827362,way/664378331
Thablik Masjid Jannathul Bakki,muslim,place_of_worship,11.004826,77.5604864,way/664436349
Jamal Mohamed College Mosque,muslim,place_of_worship,10.7844858,78.6921593,way/664480059
Markaz Masjid,muslim,place_of_worship,10.780923,78.6916315,way/664482251
Jailaniya Mosque,muslim,place_of_worship,10.7881421,78.6986096,way/665343498
Noor Mosque,muslim,place_of_worship,10.7898776,78.6930095,way/665343880
