name,type,latitude,longitude,osm_id
G1,police,11.4117251,76.7031563,way/24385984
Police Quarters,police,11.4119909,76.6888919,way/32747326
Women's Police Station,police,10.7809629,79.1339162,way/43316308
Thanjavur District Police HQ,police,10.7801475,79.1335845,way/43316417
Police training camp 4th battalion in coimbatore,police,10.9412581,76.9396392,way/130035512
Commisioner Office,police,11.0007466,76.9681639,way/133585587
B9 Saravanampatty Police Station,police,11.0747167,77.0027098,way/133739505
Nilgiri armed reserve,police,11.4239411,76.7092904,way/151586128
Pavoorchatram Police Station,police,8.9153414,77.3841992,way/178616405
Mylapore E1 PS,police,13.0359873,80.2701421,way/208569725
Periamet PS,police,13.0831121,80.2709138,way/211435479
R1 Police Station,police,13.0347642,80.2294897,way/214356712
Esplanade PS,police,13.0864715,80.2853702,way/217637688
F4 Greams Road PS,police,13.0598386,80.2547972,way/217767201
Peravallur Police Station,police,13.1113985,80.2263784,way/217920494
D1 Triplicane Police Station,police,13.0672549,80.2736489,way/217960575
K4 Police Station,police,13.0925447,80.21797,way/231052535
R3 Ashok Nagar Police Station,police,13.0440809,80.2173045,way/240511203
Abhiramapuram,police,13.0332562,80.2559671,way/241007895
F2 Egmore Police Station,police,13.0750725,80.257014,way/241027985
Thudiyalur Police Station,police,11.0820675,76.9412411,node/247177690
Mambalam Police Station,police,13.0349573,80.22946,node/250363729
Royapettah PS,police,13.0520106,80.2637348,node/259773441
Sulur Police Station,police,11.0248612,77.1204842,way/295103984
Selaiyur Police Station,police,12.9229459,80.1352359,way/297495780
S-8 Adambakkam Police Station,police,12.9893957,80.2019683,node/300468066
Teynampet E3 PS,police,13.048651,80.2494881,node/301949978
Police Quarters,police,11.4741243,77.8673495,way/306980743
Police Station,police,10.6571159,77.0083512,node/308446629
Adyar J2,police,12.997814,80.2557176,node/312025133
Central Station PS,police,13.0818276,80.2755071,node/320968223
Chennai Central RPF,police,13.0830613,80.2732996,node/320968578
RTO Check Post,police,8.3307076,77.1742787,node/334644593
Tax Check Post,police,8.3242251,77.1817641,node/334644595
B1 Saint Thomas Mount PS,police,12.9991212,80.200262,node/339282419
Mohanur Police Station,police,11.0615398,78.1388491,way/342464013
Police Station - J1 - Saidapet,police,13.0224076,80.226078,way/343141650
Police Station,police,11.2185353,78.1695347,way/345483870
Women Police Station,police,11.2183133,78.1692677,way/345483871
Kalpakkam Police Station,police,12.5037687,80.1533696,node/353073504
E5 Foreshore Estate Police Station,police,13.0245553,80.2748155,way/354469200
Dharapuram Police Station,police,10.7312269,77.5240154,node/354836500
Sadras Police Station,police,12.5251654,80.1626667,node/354890203
D3 Guduvancheri Police Station,police,12.8439997,80.0603546,way/355104205
Koyambedu Police Station,police,13.0696407,80.2004587,node/366075241
E1 Police Station,police,11.412076,76.6884781,node/369183249
"Office, Police Commissioner",police,13.0100865,80.1990931,node/370481197
T15 SRMC PS,police,13.0341993,80.1602489,node/370969674
KK Nagar PS,police,13.0415108,80.2054415,node/389948945
N4 PS,police,13.1345408,80.2974596,node/390852677
Police Station,police,11.746409,79.7454395,way/396363992
Virugambakkam Police Station,police,13.0491123,80.1992562,node/411318042
K G Chavadi Police,police,10.8755239,76.8950568,way/580408779
Sipcot Police Station,police,12.9562113,79.3044053,way/683879393
vadavalli police station,police,11.0452875,76.8949051,way/685342422
Police Booth,police,13.0737484,80.1923421,node/687175330
Police Booth,police,13.0656907,80.1935705,node/687177364
Police Station,police,11.277733,77.5865812,node/725513774
Velachery,police,12.9850126,80.2208713,node/747616884
District Police Office,police,10.9990022,76.9677805,node/803272013
Ambattur T1 Police Station,police,13.1073143,80.1525569,way/835251736
District Police Office,police,12.2717178,79.0749271,way/844760299
Rajapalayam South Police Station,police,9.4499892,77.5546694,way/914095632
Rajapalayam North Police Station,police,9.4589091,77.5556291,way/914095633
Police Booth,police,13.0447322,80.1862162,node/934859086
E6,police,13.2718063,80.2625092,node/951833229
Chintadripet,police,13.0749088,80.2725042,node/966556101
S6 Shankar Nagar Police Station,police,12.9692797,80.1257959,node/983961147
Vadapalani Police station,police,13.049673,80.2117315,node/984217571
Ramapuram Police Station,police,13.0317737,80.1790069,node/1015569835
B4 Taluk Police Station,police,11.9366797,79.5066409,way/1029921184
Guindy J3 Police station,police,13.0093531,80.2106918,way/1038741390
Ukkadam Police Station(B2),police,10.9890037,76.9615341,node/1051328308
